name,description,total in stock,price,discount
Baseus Safety Airbags Case Apple Iphone 11 ARAPIPH61S-01 Grey,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი ნაცრისფერი",1,12.5,-55%
Baseus Safety Airbags Case Apple Iphone 11 ARAPIPH61S-02 Transparent,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი გამჭვირვალე",1,11.4,-52%
Baseus Safety Airbags Case Apple iPhone XR ARAPIPH61-SF01 Black,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი შავი",1,10.9,-61%
Baseus Safety Airbags Case Apple iPhone XR ARAPIPH61-SF02 Transparent,"სახეობა ჩასადები, მასალა პოლიკარბონატი, ფერი გამჭვირვალე",1,11.7,-58%
Baseus Safety Airbags Case Apple iPhone 11 ARAPIPH61S-SF01 Black,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი გამჭვირვალე",1,12.6,-55%
Baseus Safety Airbags Case Apple Iphone 11 Pro Max ARAPIPH65S-01 Transparent,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი გამჭვირვალე",1,9.7,-59%
Baseus Safety Airbags Case Apple Iphone 11 Pro Max ARAPIPH65S-02 Transparent,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი გამჭვირვალე",1,11.2,-53%
Baseus Safety Airbags Case Apple Iphone 11 Pro Max ARAPIPH65-SF02 Transparent,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი გამჭვირვალე",1,11.2,-53%
Baseus With Pluggy TPU Case Simple Series Apple iPhone 7/8  ARAPIPH7-B02 Transparent,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი გამჭვირვალე",1,8,-34%
Baseus Simple Case Huawei Mate 20 ARHWMATE20P-MD02 Transparent,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU)",1,6.99,-70%
Baseus Simple Series  for Samsung Galaxy Note 10 ARSANOTE10-02 Transparent,"სახეობა ჩასადები, მასალა პოლიურეთანი; (TPU), ფერი გამჭვირვალე",1,6.99,-70%
Baseus Simple Series  for Samsung Galaxy Note 10 Plus ARSANOTE10P-02 Transparent,"სახეობა ჩასადები, მასალა პოლიურეთანი; (TPU), ფერი გამჭვირვალე",1,6.99,-70%
Baseus CALL52-01,"მაგნიტური კონექტორი არა, სახეობა ადაპტერი, Lightning, 3.5 მმ jack, ფერი შავი",1,37.5,-36%
Baseus CAMKLF-CG1 Black,"მაგნიტური კონექტორი არა, სახეობა კაბელი, microUSB 2.0, USB 2.0 Type-A, კაბელის სიგრძე 2 მ, ფერი შავი",1,16.8,-55%
Baseus CAMSW-D02 White,"მაგნიტური კონექტორი არა, სახეობა კაბელი; , microUSB 2.0, USB 2.0 Type-A, კაბელის სიგრძე 1 მ, ფერი თეთრი",1,10.5,-52%
Baseus Mini Cable Type-C to Lightning 1m CATLSW-02,"სახეობა კაბელი, ადაპტერი, Lightning, USB 2.0 Type-C, კაბელის სიგრძე 1 მ, ფერი თეთრი",1,18,-50%
Baseus CCALL-ML01,"დანიშნულება ტელეფონებისთვის, ტაბლეტებისთვის, ფერი შავი",1,12.4,-32%
Baseu CCFS-G01,"დანიშნულება ტელეფონებისთვის, ტაბლეტებისთვის, მიერთების ზომები USB, გამოშვების სიმძლავრე 60 W, ფერი შავი",1,73.5,-32%
Baseu CCFS-G02,"დანიშნულება ტელეფონებისთვის, ტაბლეტებისთვის, მიერთების ზომები USB, გამოშვების სიმძლავრე 60 W, ფერი თეთრი",1,73.5,-32%
Baseu CCMLC20C-01,"დანიშნულება ტელეფონებისთვის, ტაბლეტებისთვის, მიერთების ზომები USB Type-C, გამოშვების სიმძლავრე 45 W, ფერი შავი",1,29.3,-34%
Baseus WIAPIPH58S-GD01 For iPhone 11 Pro Transparent,"სახეობა ჩასადები, მასალა სილიკონი, ფერი გამჭვირვალე",1,22.8,-40%
Baseus WIAPIPH58S-GD02 For iPhone 11 Pro Transparent White,"სახეობა ჩასადები, მასალა სილიკონი, ფერი თეთრი, გამჭვირვალე",1,21,-45%
Baseus Jelly Liquid Silica Gel Protective Case Apple iPhone 11 WIAPIPH61S-GD01 Black,"სახეობა ჩასადები, მასალა სილიკონი, ფერი თეთრი, გამჭვირვალე",1,21,-45%
Baseus WIAPIPH65S-GD01 For iPhone 11 Pro Max Solid Transparent,"სახეობა ჩასადები, მასალა პოლიპროპილენი, ფერი ნაცრისფერი, გამჭვირვალე",1,24.4,-36%
Baseus WIAPIPH65S-GD02 For iPhone 11 Pro Max White,"სახეობა ჩასადები, მასალა პოლიპროპილენი, ფერი თეთრი, გამჭვირვალე",1,22.1,-42%
Baseus WIHWP30-01,"სახეობა ჩასადები, მასალა პოლიურეთანი; (TPU), ფერი შავი, გამჭვირვალე",1,6.99,-75%
Baseus WIHWP30-02,"სახეობა ჩასადები, მასალა პოლიურეთანი; (TPU), ფერი გამჭვირვალე",1,6.99,-75%
Baseus WIHWP30P-01,"სახეობა ჩასადები, მასალა პოლიურეთანი; (TPU), ფერი შავი, გამჭვირვალე",1,6.99,-75%
Baseus WIHWP30P-02,"სახეობა ჩასადები, მასალა პოლიურეთანი; (TPU), ფერი თეთრი, გამჭვირვალე",1,6.99,-75%
Baseus WISANOTE10-01,"სახეობა ჩასადები, მასალა პოლიურეთანი; (TPU), ფერი შავი, გამჭვირვალე",1,6.99,-70%
Baseus WISANOTE10P-01,"სახეობა ჩასადები, მასალა პოლიურეთანი; (TPU), ფერი შავი, გამჭვირვალე",1,11.9,-50%
Baseus WXYL-B0A,"კონსტრუქცია სექციური, ფერი შავი",1,71.6,-34%
Baseus Case for Samsung S20,"სახეობა ჩასადები, მასალა სილიკონი, ფერი გამჭვირვალე",1,6.99,-79%
Baseus Case for Samsung S20 Plus,"სახეობა ჩასადები, მასალა სილიკონი, ფერი გამჭვირვალე",1,6.99,-80%
Baseus Case for Samsung S20 Ultra,"სახეობა ჩასადები, მასალა სილიკონი, ფერი გამჭვირვალე",1,6.99,-81%
Baseus Case Samsung S20 WISAS20-02,"სახეობა ჩასადები, მასალა სილიკონი, ფერი თეთრი",1,6.99,-78%
Baseus Case Samsung S20+ WISAS20P-02,"სახეობა ჩასადები, მასალა სილიკონი, ფერი თეთრი",1,6.99,-79%
Baseus Case Samsung S20 Ultra WISAS20U-02,"სახეობა ჩასადები, მასალა სილიკონი, ფერი თეთრი",1,6.99,-80%
Baseus Case For Samsung S20 WISAS20-A01,"სახეობა ჩასადები, მასალა სილიკონი, ფერი შავი",1,6.99,-78%
Baseus Case For Samsung S20+ WISAS20P-A01,"სახეობა ჩასადები, მასალა სილიკონი, ფერი შავი",1,6.99,-79%
